korean,English
원하다,want
통신,communication
확인하다,check
모임,class
아무,nothing
웃음,laugh
기계,machine
모양,shape
물질,matter
아나운서,announcer
뉴스,news
살아가다,Live
펴다,Spread
겨울,winter
종교,religion
층,floor
자연스럽다,natural
돌다,spin
식사,meal
안다,know
잊다,forget
제시하다,Present
반,half
불과하다,Behold
혹은,or
엄청나다,tremendous
텔레비전,television
파악하다,Seize
실천,implement
노력하다,do the efforts
보호,protect
씻다,wash
한편,Meanwhile
이웃,Neighborhood
편지,letter
공동,public
까닭,reason
방안,measures
센티미터,centimeter
분명하다,Obvious
분석,analysis
소녀,girl
지나가다,Pass by
상품,Goods
설명,Explanation
훌륭하다,great
관계자,Officials
새로,New
이어지다,be connected
티브이,Tibie
봄,spring
종류,Kinds
낮다,low
어깨,shoulder
지적하다,Point out
부부,married couple
오래,long
요구,request
키우다,grow
눕다,lay down
발달하다,develop
발전하다,improve
여행,Travel
죽음,death
고통,pain
등장하다,appear
공,zero
듯이,As if
어울리다,comport
오월,May
알리다,inform
멀리,far
빼다,remove
예정,Expected
오빠,brother
즐겁다,fun
한계,Limit
흔히,Often
바탕,background
사월,April
싸우다,fight
언제,when
예쁘다,pretty
갈등,conflict
느껴지다,Felt
의지,will
전문,specialty
정확하다,Accurate
초기,Early
나중,later
맛있다,delicious
며칠,few days
신경,nerve
찾아오다,come to
미,MI
사용,use
시선,Sight
아무런,No
언론,Press
투자,invest
지원,support
결정하다,decide
경영,management
목표,goal
성장,growth
숲,forest
없어지다,Run out
작년,last year
내려가다,go down
떠오르다,fly
새벽,dawn
쓰레기,Garbage
얼른,hurry
피해,Harm
무섭다,scary
직장,rectal
참다,suppress
크기,size
고기,meat
남기다,leave
서양,Western
주요,main
가져오다,Bring
냄새,smell
부드럽다,soft
여기다,It's here
공연,show
남녀,Men and women
내놓다,put out
떼다,cut
만들어지다,created
속도,speed
심각하다,Serious
준비,Ready
계속되다,Continue
구월,September
맑다,clear
소년,boy
소식,News
유월,June
작용,Action
허리,waist
골,goal
공업,industry
그중,among them
노인,old man
벌다,Earn
살리다,save
영어,English
출신,Native
결정,decision
경향,tendency
기록,record
나름,depending on
대답하다,Answer
반면,On the other hand
썰다,chop
움직임,movement
이미지,image
터지다,To explode
특성,characteristic
교장,Principal
벗다,take off
업무,task
입시,Entrance
준비하다,Prepare
청소년,Youth
돕다,help
응,Huh
이기다,win
찾아보다,To look for
다루다,treat
달,moon
사장,CEO
삼월,March
그렇지만,but
선배,Elder
업체,company
키,key
국회,Congress
그러므로,therefore
포함하다,Comprise
걱정,worry
결혼하다,Get married
만약,if
세월,time
숨,breath
깨닫다,realize
누나,sister
왕,King
점점,Getting
질문,Questions
특별,Special
판단,judgment
해결하다,Settle
계속하다,Continue
그치다,stop
근처,around
너무나,too
높이다,heighten
부정,denial
사정,circumstances
도대체,why
부모님,parents
수출,Export
그,that
자르다,cut
데리다,be accompanied
마리,number of animals
무척,very
비용,expense
비행기,airplane
옳다,right
원래,usually
처리,process
최초,first
꼴,form
놀이,play
뜨겁다,hot
뿌리,root
그리하여,therefore
낮,afternoon
일찍,early
직원,employee
찍다,hew
가볍다,light
내부,inside
다소,a little
상대,opponent
오전,morning
피부,skin
가게,shop
가득,full
그저,just
벽,Wall
장군,General
무역,Trade
부담,Burden
약속,Appointment
줄,line
쳐다보다,To look at
충분히,fully
신체,body
에너지,energy
위원,commissioner
정리하다,organize
집안,house management
배경,background
죽이다,To kill
단순하다,simple
반대,the opposite
법칙,Rule
빠지다,fall
소금,Salt
오염,pollution
자전거,bike
참여하다,participate
탓,fault
푸르다,Purple
그래,okay
목,neck
발표,presentation
범죄,crime
흔들다,shake
기초,basic
논리,logic
드라마,drama
뽑다,select
피우다,smoke
감각,sense
미리,beforehand
부족하다,lack
저희,we
진행되다,Proceed
교통,traffic
법,law
오랜,long-time
젊은이,young people
후보,candidate
과제,assignment
근거,Evidence
기록하다,Record
다가오다,to come closer
불다,blow
이끌다,lead
종합,Synthesis
한글,Hangul
가을,autumn
개발하다,Develop
떨다,shiver
손가락,finger
수단,Way
자유롭다,free
적극적,active
판매,sale
형성,formation
기울이다,Tilt
길이,length
